rebalance_date,strategy,universe,asset,weight,mrc,rc,rc_share
2023-10-08,hybrid_crypto,crypto,ofz_return,0.42758211458977186,0.008004880830856218,0.0034227438726966313,0.16683345649705444
2023-10-08,hybrid_crypto,crypto,ruonia_return,0.05000000000000003,-8.927964018928794e-05,-4.4639820094644e-06,-0.00021758611689307123
2023-10-08,hybrid_loose_base,base,gold_return,0.27959581461746363,0.01705383981395814,0.004768182235139361,0.2866807769873517
2023-10-08,hybrid_loose_base,base,moex_return,0.20714220508207656,0.03179593849548399,0.006586280812608637,0.39599159757373337
2023-10-08,hybrid_loose_base,base,ofz_return,0.4832619803004598,0.010924608008822178,0.0052794477003496685,0.3174199504470269
2023-10-08,hybrid_loose_base,base,ruonia_return,0.030000000000000002,-5.1186139064365655e-05,-1.5355841719309697e-06,-9.232500811198189e-05
2023-10-08,hybrid_loose_crypto,crypto,btc_return,0.056820841819722856,0.06899228761065064,0.003920199861105605,0.19215544532038373
2023-10-08,hybrid_loose_crypto,crypto,eth_return,0.04784813489392453,0.08591338360701099,0.004110795168021746,0.20149780728509165
2023-10-08,hybrid_loose_crypto,crypto,gold_return,0.22505834194048316,0.017187925679194603,0.00386828605475579,0.18961079940158826
2023-10-08,hybrid_loose_crypto,crypto,moex_return,0.1761412980022344,0.026661774603203448,0.004696239585651263,0.2301943882671147
2023-10-08,hybrid_loose_crypto,crypto,ofz_return,0.4741313833436351,0.008030285032452351,0.003807410151080321,0.1866268606243593
2023-10-08,hybrid_loose_crypto,crypto,ruonia_return,0.020000000000000056,-8.701199438882744e-05,-1.7402398877765535e-06,-8.530089853778248e-05
2023-10-08,hybrid_ruonia_capped_base,base,gold_return,0.24974738413591474,0.014762517660534354,0.0036869001689786986,0.22012371526717125
2023-10-08,hybrid_ruonia_capped_base,base,moex_return,0.24196387817629783,0.03400750549401486,0.00822858791643359,0.4912819063581156
2023-10-08,hybrid_ruonia_capped_base,base,ofz_return,0.43328873768778736,0.011164814151560365,0.0048375882302483355,0.28882471598627
2023-10-08,hybrid_ruonia_capped_base,base,ruonia_return,0.075,-5.1439665974005414e-05,-3.857974948050406e-06,-0.00023033761155723712
2023-10-08,hybrid_ruonia_capped_crypto,crypto,btc_return,0.05426302613732678,0.06798193344575268,0.0036889054314328874,0.17980686452353026
2023-10-08,hybrid_ruonia_capped_crypto,crypto,eth_return,0.04865508430870283,0.08550133114202299,0.004160074475221447,0.2027728716491895
2023-10-08,hybrid_ruonia_capped_crypto,crypto,gold_return,0.21566146371280195,0.016550594491825242,0.003569325433424069,0.17397822377864028
2023-10-08,hybrid_ruonia_capped_crypto,crypto,moex_return,0.2038383112513965,0.0278620190556593,0.0056793469123598206,0.27682616966847845
2023-10-08,hybrid_ruonia_capped_crypto,crypto,ofz_return,0.42758211458977186,0.008004880830856218,0.0034227438726966313,0.16683345649705444
2023-10-08,hybrid_ruonia_capped_crypto,crypto,ruonia_return,0.05000000000000003,-8.927964018928794e-05,-4.4639820094644e-06,-0.00021758611689307123
2023-10-08,hybrid_unconstrained_base,base,gold_return,0.030850870393220705,0.01741210102464226,0.0005371784719849038,0.3238559286194424
2023-10-08,hybrid_unconstrained_base,base,moex_return,0.018718129121742633,0.028717655913391395,0.000537540791460636,0.3240743649797765
2023-10-08,hybrid_unconstrained_base,base,ofz_return,0.04881399308415851,0.010986923652036542,0.0005363156151666894,0.3233357266554734
2023-10-08,hybrid_unconstrained_base,base,ruonia_return,0.9016170074008782,5.286161577408302e-05,4.766093182060379e-05,0.028733979745307718
2023-10-08,hybrid_unconstrained_crypto,crypto,btc_return,0.05852600608292745,0.06959066862517174,0.004072863895271789,0.20015549679383626
2023-10-08,hybrid_unconstrained_crypto,crypto,eth_return,0.0473101670232108,0.08608981800264226,0.004072923668702826,0.20015843427986374
2023-10-08,hybrid_unconstrained_crypto,crypto,gold_return,0.2313229250491516,0.01759619968361428,0.0040704043805626115,0.2000346272039983
2023-10-08,hybrid_unconstrained_crypto,crypto,moex_return,0.1576765156507351,0.02582383338958178,0.004071812069614367,0.20010380621629298
2023-10-08,hybrid_unconstrained_crypto,crypto,ofz_return,0.5051643861939751,0.008037967326143855,0.004060494830558687,0.19954763550600876
2023-10-08,hybrid_unconstrained_crypto,crypto,ruonia_return,0.0,-8.538596265039668e-05,-0.0,-0.0
2023-10-08,mv_sample_base,base,gold_return,0.003133282890998298,0.0004516647665259927,1.4151934854226337e-06,0.0033014754020332443
2023-10-08,mv_sample_base,base,moex_return,0.0014611636797073233,0.00045170722902098894,6.600181969067068e-07,0.0015397427026249205
2023-10-08,mv_sample_base,base,ofz_return,0.0,0.003448088754624154,0.0,0.0
2023-10-08,mv_sample_base,base,ruonia_return,0.9954055534292944,0.0004285485947167847,0.00042657965109540747,0.9951587818953419
2023-10-08,mv_sample_crypto,crypto,btc_return,0.0005260859841462828,0.0004472334623167477,2.3528325616605573e-07,0.0005553957846939464
2023-10-08,mv_sample_crypto,crypto,eth_return,0.0001625612293656708,0.00045050670510326347,7.323492381906423e-08,0.00017287404401095094
2023-10-08,mv_sample_crypto,crypto,gold_return,0.002430052899286617,0.00044694930099695943,1.0861104447217882e-06,0.002563808290228751
2023-10-08,mv_sample_crypto,crypto,moex_return,0.0011993935356396199,0.00044794734493779477,5.37265149825322e-07,0.0012682364412083258
2023-10-08,mv_sample_crypto,crypto,ofz_return,0.0,0.0033003342396779227,0.0,0.0
2023-10-08,mv_sample_crypto,crypto,ruonia_return,0.9956819063515618,0.0004235286348332438,0.0004216997985252387,0.995439685439858
2023-10-08,mv_shrink_base,base,gold_return,0.152972330785158,0.011971081817606392,0.0018312442876590757,0.1529745394285807
2023-10-08,mv_shrink_base,base,moex_return,0.051141403644208314,0.011971166685113105,0.0006122222675354685,0.05114250459936197
2023-10-08,mv_shrink_base,base,ofz_return,0.3043398170240016,0.011970955745018741,0.003643238481041424,0.3043410059606154
2023-10-08,mv_shrink_base,base,ruonia_return,0.4915464485466321,0.011970799423985521,0.005884203943124152,0.4915419500114417
2023-10-08,mv_shrink_crypto,crypto,btc_return,0.0009897453961470058,0.010991908907969913,1.0879191236530484e-05,0.00098978426384899
2023-10-08,mv_shrink_crypto,crypto,eth_return,0.00018928522762209595,0.010991881212282823,2.080600737261994e-06,0.00018929218397959526
2023-10-08,mv_shrink_crypto,crypto,gold_return,0.10942117264318349,0.01099178486179337,0.0012027339890190232,0.10942423476572716
2023-10-08,mv_shrink_crypto,crypto,moex_return,0.009964985271406353,0.01099187799653873,0.00010953390234060402,0.009965348575789615
2023-10-08,mv_shrink_crypto,crypto,ofz_return,0.28099519817686225,0.010991631044303353,0.003088595543580972,0.280999129435792
2023-10-08,mv_shrink_crypto,crypto,ruonia_return,0.5984396132847788,0.010991341307093375,0.006577654041297974,0.5984322107748627
2023-10-08,rp_sample_base,base,gold_return,0.030850870393220705,0.01741210102464226,0.0005371784719849038,0.3238559286194424
2023-10-08,rp_sample_base,base,moex_return,0.018718129121742633,0.028717655913391395,0.000537540791460636,0.3240743649797765
2023-10-08,rp_sample_base,base,ofz_return,0.04881399308415851,0.010986923652036542,0.0005363156151666894,0.3233357266554734
2023-10-08,rp_sample_base,base,ruonia_return,0.9016170074008782,5.286161577408302e-05,4.766093182060379e-05,0.028733979745307718
2023-10-08,rp_sample_crypto,crypto,btc_return,0.05852600608292745,0.06959066862517174,0.004072863895271789,0.20015549679383626
2023-10-08,rp_sample_crypto,crypto,eth_return,0.0473101670232108,0.08608981800264226,0.004072923668702826,0.20015843427986374
2023-10-08,rp_sample_crypto,crypto,gold_return,0.2313229250491516,0.01759619968361428,0.0040704043805626115,0.2000346272039983
2023-10-08,rp_sample_crypto,crypto,moex_return,0.1576765156507351,0.02582383338958178,0.004071812069614367,0.20010380621629298
2023-10-08,rp_sample_crypto,crypto,ofz_return,0.5051643861939751,0.008037967326143855,0.004060494830558687,0.19954763550600876
2023-10-08,rp_sample_crypto,crypto,ruonia_return,0.0,-8.538596265039668e-05,-0.0,-0.0
2023-10-08,rp_shrink_base,base,gold_return,0.20401094172264034,0.015638499768789005,0.0031904250649599382,0.25017077786168834
2023-10-08,rp_shrink_base,base,moex_return,0.15113440259837704,0.021119609010295994,0.003191899490882386,0.25028639201102826
2023-10-08,rp_shrink_base,base,ofz_return,0.27115748560595754,0.011756726667358065,0.0031879244420773218,0.24997469653743043
2023-10-08,rp_shrink_base,base,ruonia_return,0.373697170073025,0.008516894973652413,0.0031827395494630774,0.24956813358985305
2023-10-08,rp_shrink_crypto,crypto,btc_return,0.0393673432212889,0.06188410135098358,0.002436212657825199,0.16687730068438764
2023-10-08,rp_shrink_crypto,crypto,eth_return,0.03186480894488459,0.07645563377606933,0.0024362441630345144,0.16687945874898483
2023-10-08,rp_shrink_crypto,crypto,gold_return,0.14191586764975647,0.01715757660694749,0.0024349323709421176,0.1667896027494541
2023-10-08,rp_shrink_crypto,crypto,moex_return,0.10810453774597255,0.022529254018409054,0.002435514591421705,0.16682948407168788
2023-10-08,rp_shrink_crypto,crypto,ofz_return,0.2572868484762769,0.009451626212604218,0.0024317791212167088,0.1665736093710149
2023-10-08,rp_shrink_crypto,crypto,ruonia_return,0.42146059396182056,0.005751766644694103,0.0024241429864025645,0.16605054437447062
